class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29064,10533,268,"USHJA Hunter 2'6""",,2661,Ustina,Isaac Leffkowitz,Isaac Leffkowitz,,
29064,10533,268,"USHJA Hunter 2'6""",,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,,
29064,10533,268,"USHJA Hunter 2'6""",,2729,Clearville,Emily Kowit,T.e.k. Show Horses LLC,,
29064,10533,268,"USHJA Hunter 2'6""",,2937,Follow Me,Marissa Creviston,"Alw Eq, LLC",,
29064,10533,268,"USHJA Hunter 2'6""",,2940,Obora's Sandman,Marissa Creviston,"Alw Eq, LLC",,
29064,10533,268,"USHJA Hunter 2'6""",,3034,Napoleon,Robert P. Stucky,Sharrone Peters,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",1,2607,Santino,Jasmine Walsh,Jole Kosloske,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",2,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",3,1493,Lyon,Katherine Addington,Elevated Performance Horses LLC,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",4,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",5,1698,Orchard Hills Best Dressed,Ryan Haselden,Stephanie I Sakata,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",6,1458,Sweeter Than Fiction,Addy Dewalt,Addy Dewalt,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",7,3034,Napoleon,Robert P. Stucky,Sharrone Peters,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",8,2304,Camden Street,Phillipa Greenberg,Lana Tomlinson,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",,1983,Koh I Knoor,Natalie Johnson Russell,Issabella Malherbe,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,,
29065,10533,269,"USHJA Hunter 2'6"" U/S",,2974,St. Nick,Kalli Core,Vivian Downes,,
29264,10532,270,"USHJA Hunter 2'9""",1,1453,Childhood Dream,Lanie Nash,Jackie Sawyer,,
29264,10532,270,"USHJA Hunter 2'9""",2,1049,Vote For Pedro,Carsyn Korotkin,Linda Lauper-Polk,,
29264,10532,270,"USHJA Hunter 2'9""",3,2943,Gladrags,Stephanie Frey,Leslie B. Kramer,,
29264,10532,270,"USHJA Hunter 2'9""",4,2820,Peyton Cm Kapade,Angelina M Palmeri,Angelina M Palmeri,,
29264,10532,270,"USHJA Hunter 2'9""",5,2978,Toussant,Helen Goddard,Laura V. Ganny,,
29264,10532,270,"USHJA Hunter 2'9""",6,2066,Red Admiral,Elizabeth C. de Golian,Eyckenhoeve Group Inc,,
29264,10532,270,"USHJA Hunter 2'9""",7,2623,Sophistakkato,Katherine Nunez,Katherine Nunez,,
29264,10532,270,"USHJA Hunter 2'9""",8,1774,Endeavor In His Name,Alyson Jones,Alyson Jones,,
29264,10532,270,"USHJA Hunter 2'9""",,1628,Milas D,Jennifer Strickland,Annabelle Campbell,,
